"date","activity","value","roll","source"
2020-09-02,"Journeys",47,47.7142857142857,"Citymapper"
2020-09-03,"Journeys",48,48.4285714285714,"Citymapper"
2020-09-04,"Journeys",50,49.1428571428571,"Citymapper"
2020-09-05,"Journeys",54,50.1428571428571,"Citymapper"
2020-09-06,"Journeys",53,50.2857142857143,"Citymapper"
2020-09-07,"Journeys",50,49.8571428571429,"Citymapper"
2020-09-08,"Journeys",50,50.2857142857143,"Citymapper"
2020-09-09,"Journeys",50,50.7142857142857,"Citymapper"
2020-09-10,"Journeys",50,51,"Citymapper"
2020-09-11,"Journeys",52,51.2857142857143,"Citymapper"
2020-09-12,"Journeys",57,51.7142857142857,"Citymapper"
2020-09-13,"Journeys",58,52.4285714285714,"Citymapper"
2020-09-14,"Journeys",52,52.7142857142857,"Citymapper"
2020-09-15,"Journeys",52,53,"Citymapper"
2020-09-16,"Journeys",52,53.2857142857143,"Citymapper"
2020-09-17,"Journeys",52,53.5714285714286,"Citymapper"
2020-09-18,"Journeys",53,53.7142857142857,"Citymapper"
2020-09-19,"Journeys",58,53.8571428571429,"Citymapper"
2020-09-20,"Journeys",57,53.7142857142857,"Citymapper"
2020-09-21,"Journeys",52,53.7142857142857,"Citymapper"
2020-09-22,"Journeys",51,53.5714285714286,"Citymapper"
2020-09-23,"Journeys",49,53.1428571428571,"Citymapper"
2020-09-24,"Journeys",49,52.7142857142857,"Citymapper"
2020-09-25,"Journeys",52,52.5714285714286,"Citymapper"
2020-09-26,"Journeys",55,52.1428571428571,"Citymapper"
2020-09-27,"Journeys",52,51.4285714285714,"Citymapper"
2020-09-28,"Journeys",49,51,"Citymapper"
2020-09-29,"Journeys",49,50.7142857142857,"Citymapper"
2020-09-30,"Journeys",50,50.8571428571429,"Citymapper"
2020-10-01,"Journeys",50,51,"Citymapper"
2020-10-02,"Journeys",52,51,"Citymapper"
2020-10-03,"Journeys",55,51,"Citymapper"
2020-10-04,"Journeys",51,50.8571428571429,"Citymapper"
2020-10-05,"Journeys",49,50.8571428571429,"Citymapper"
2020-10-06,"Journeys",50,51,"Citymapper"
2020-10-07,"Journeys",50,51,"Citymapper"
2020-10-08,"Journeys",50,51,"Citymapper"
2020-10-09,"Journeys",53,51.1428571428571,"Citymapper"
2020-10-10,"Journeys",59,51.7142857142857,"Citymapper"
2020-10-11,"Journeys",58,52.7142857142857,"Citymapper"
2020-10-12,"Journeys",48,52.5714285714286,"Citymapper"
2020-10-13,"Journeys",48,52.2857142857143,"Citymapper"
2020-10-14,"Journeys",50,52.2857142857143,"Citymapper"
2020-10-15,"Journeys",50,52.2857142857143,"Citymapper"
2020-10-16,"Journeys",55,52.5714285714286,"Citymapper"
2020-10-17,"Journeys",51,51.4285714285714,"Citymapper"
2020-10-18,"Journeys",51,50.4285714285714,"Citymapper"
2020-10-19,"Journeys",45,50,"Citymapper"
2020-10-20,"Journeys",45,49.5714285714286,"Citymapper"
2020-10-21,"Journeys",44,48.7142857142857,"Citymapper"
2020-10-22,"Journeys",46,48.1428571428571,"Citymapper"
2020-10-23,"Journeys",48,47.1428571428571,"Citymapper"
2020-10-24,"Journeys",53,47.4285714285714,"Citymapper"
2020-10-25,"Journeys",54,47.8571428571429,"Citymapper"
2020-10-26,"Journeys",47,48.1428571428571,"Citymapper"
2020-10-27,"Journeys",45,48.1428571428571,"Citymapper"
2020-10-28,"Journeys",46,48.4285714285714,"Citymapper"
2020-10-29,"Journeys",46,48.4285714285714,"Citymapper"
2020-10-30,"Journeys",50,48.7142857142857,"Citymapper"
2020-10-31,"Journeys",54,48.8571428571429,"Citymapper"
2020-11-01,"Journeys",56,49.1428571428571,"Citymapper"
2020-11-02,"Journeys",53,50,"Citymapper"
2020-11-03,"Journeys",57,51.7142857142857,"Citymapper"
2020-11-04,"Journeys",60,53.7142857142857,"Citymapper"
2020-11-05,"Journeys",28,51.1428571428571,"Citymapper"
2020-11-06,"Journeys",26,47.7142857142857,"Citymapper"
2020-11-07,"Journeys",26,43.7142857142857,"Citymapper"
2020-11-08,"Journeys",28,39.7142857142857,"Citymapper"
2020-11-09,"Journeys",30,36.4285714285714,"Citymapper"
2020-11-10,"Journeys",29,32.4285714285714,"Citymapper"
2020-11-11,"Journeys",28,27.8571428571429,"Citymapper"
2020-11-12,"Journeys",28,27.8571428571429,"Citymapper"
2020-11-13,"Journeys",28,28.1428571428571,"Citymapper"
2020-11-14,"Journeys",26,28.1428571428571,"Citymapper"
2020-11-15,"Journeys",29,28.2857142857143,"Citymapper"
2020-11-16,"Journeys",30,28.2857142857143,"Citymapper"
2020-11-17,"Journeys",29,28.2857142857143,"Citymapper"
2020-11-18,"Journeys",28,28.2857142857143,"Citymapper"
2020-11-19,"Journeys",28,28.2857142857143,"Citymapper"
2020-11-20,"Journeys",28,28.2857142857143,"Citymapper"
2020-11-21,"Journeys",31,29,"Citymapper"
2020-11-22,"Journeys",33,29.5714285714286,"Citymapper"
2020-11-23,"Journeys",31,29.7142857142857,"Citymapper"
2020-11-24,"Journeys",29,29.7142857142857,"Citymapper"
2020-11-25,"Journeys",29,29.8571428571429,"Citymapper"
2020-11-26,"Journeys",29,30,"Citymapper"
2020-11-27,"Journeys",30,30.2857142857143,"Citymapper"
2020-11-28,"Journeys",32,30.4285714285714,"Citymapper"
2020-11-29,"Journeys",32,30.2857142857143,"Citymapper"
2020-11-30,"Journeys",32,30.4285714285714,"Citymapper"
2020-12-01,"Journeys",33,31,"Citymapper"
2020-12-02,"Journeys",41,32.7142857142857,"Citymapper"
2020-12-03,"Journeys",44,34.8571428571429,"Citymapper"
2020-12-04,"Journeys",48,37.4285714285714,"Citymapper"
2020-12-05,"Journeys",55,40.7142857142857,"Citymapper"
2020-12-06,"Journeys",52,43.5714285714286,"Citymapper"
2020-12-07,"Journeys",45,45.4285714285714,"Citymapper"
2020-12-08,"Journeys",45,47.1428571428571,"Citymapper"
2020-12-09,"Journeys",46,47.8571428571429,"Citymapper"
2020-12-10,"Journeys",47,48.2857142857143,"Citymapper"
2020-12-11,"Journeys",50,48.5714285714286,"Citymapper"
2020-12-12,"Journeys",54,48.4285714285714,"Citymapper"
2020-12-13,"Journeys",50,48.1428571428571,"Citymapper"
2020-12-14,"Journeys",47,48.4285714285714,"Citymapper"
2020-12-15,"Journeys",49,49,"Citymapper"
2020-12-16,"Journeys",36,47.5714285714286,"Citymapper"
2020-12-17,"Journeys",35,45.8571428571429,"Citymapper"
2020-12-18,"Journeys",34,43.5714285714286,"Citymapper"
2020-12-19,"Journeys",32,40.4285714285714,"Citymapper"
2020-12-20,"Journeys",24,36.7142857142857,"Citymapper"
2020-12-21,"Journeys",23,33.2857142857143,"Citymapper"
2020-12-22,"Journeys",22,29.4285714285714,"Citymapper"
2020-12-23,"Journeys",21,27.2857142857143,"Citymapper"
2020-12-24,"Journeys",19,25,"Citymapper"
2020-12-25,"Journeys",6,21,"Citymapper"
2020-12-26,"Journeys",14,18.4285714285714,"Citymapper"
2020-12-27,"Journeys",20,17.8571428571429,"Citymapper"
2020-12-28,"Journeys",20,17.4285714285714,"Citymapper"
2020-12-29,"Journeys",22,17.4285714285714,"Citymapper"
2020-12-30,"Journeys",22,17.5714285714286,"Citymapper"
2020-12-31,"Journeys",20,17.7142857142857,"Citymapper"
2021-01-01,"Journeys",14,18.8571428571429,"Citymapper"
2021-01-02,"Journeys",18,19.4285714285714,"Citymapper"
2021-01-03,"Journeys",22,19.7142857142857,"Citymapper"
2021-01-04,"Journeys",23,20.1428571428571,"Citymapper"
2021-01-05,"Journeys",20,19.8571428571429,"Citymapper"
2021-01-06,"Journeys",19,19.4285714285714,"Citymapper"
2021-01-07,"Journeys",19,19.2857142857143,"Citymapper"
2021-01-08,"Journeys",18,19.8571428571429,"Citymapper"
2021-01-09,"Journeys",18,19.8571428571429,"Citymapper"
2021-01-10,"Journeys",19,19.4285714285714,"Citymapper"
2021-01-11,"Journeys",21,19.1428571428571,"Citymapper"
2021-01-12,"Journeys",19,19,"Citymapper"
2021-01-13,"Journeys",18,18.8571428571429,"Citymapper"
2021-01-14,"Journeys",18,18.7142857142857,"Citymapper"
2021-01-15,"Journeys",18,18.7142857142857,"Citymapper"
2021-01-16,"Journeys",17,18.5714285714286,"Citymapper"
2021-01-17,"Journeys",22,19,"Citymapper"
2021-01-18,"Journeys",21,19,"Citymapper"
2021-01-19,"Journeys",20,19.1428571428571,"Citymapper"
2021-01-20,"Journeys",19,19.2857142857143,"Citymapper"
2021-01-21,"Journeys",19,19.4285714285714,"Citymapper"
2021-01-22,"Journeys",20,19.7142857142857,"Citymapper"
2021-01-23,"Journeys",21,20.2857142857143,"Citymapper"
2021-01-24,"Journeys",20,20,"Citymapper"
2021-01-25,"Journeys",22,20.1428571428571,"Citymapper"
2021-01-26,"Journeys",20,20.1428571428571,"Citymapper"
2021-01-27,"Journeys",19,20.1428571428571,"Citymapper"
2021-01-28,"Journeys",19,20.1428571428571,"Citymapper"
2021-01-29,"Journeys",20,20.1428571428571,"Citymapper"
2021-01-30,"Journeys",19,19.8571428571429,"Citymapper"
2021-01-31,"Journeys",22,20.1428571428571,"Citymapper"
2021-02-01,"Journeys",22,20.1428571428571,"Citymapper"
2021-02-02,"Journeys",21,20.2857142857143,"Citymapper"
2021-02-03,"Journeys",20,20.4285714285714,"Citymapper"
2021-02-04,"Journeys",20,20.5714285714286,"Citymapper"
2021-02-05,"Journeys",21,20.7142857142857,"Citymapper"
2021-02-06,"Journeys",21,21,"Citymapper"
2021-02-07,"Journeys",21,20.8571428571429,"Citymapper"
2021-02-08,"Journeys",24,21.1428571428571,"Citymapper"
2021-02-09,"Journeys",22,21.2857142857143,"Citymapper"
2021-02-10,"Journeys",22,21.5714285714286,"Citymapper"
2021-02-11,"Journeys",21,21.7142857142857,"Citymapper"
2021-02-12,"Journeys",21,21.7142857142857,"Citymapper"
2021-02-13,"Journeys",22,21.8571428571429,"Citymapper"
2021-02-14,"Journeys",22,22,"Citymapper"
2021-02-15,"Journeys",24,22,"Citymapper"
2021-02-16,"Journeys",22,22,"Citymapper"
2021-02-17,"Journeys",22,22,"Citymapper"
2021-02-18,"Journeys",22,22.1428571428571,"Citymapper"
2021-02-19,"Journeys",23,22.4285714285714,"Citymapper"
2021-02-20,"Journeys",27,23.1428571428571,"Citymapper"
2021-02-21,"Journeys",27,23.8571428571429,"Citymapper"
2021-02-22,"Journeys",25,24,"Citymapper"
2021-02-23,"Journeys",25,24.4285714285714,"Citymapper"
2021-02-24,"Journeys",24,24.7142857142857,"Citymapper"
2021-02-25,"Journeys",23,24.8571428571429,"Citymapper"
2021-02-26,"Journeys",26,25.2857142857143,"Citymapper"
2021-02-27,"Journeys",30,25.7142857142857,"Citymapper"
2021-02-28,"Journeys",28,25.8571428571429,"Citymapper"
2021-03-01,"Journeys",27,26.1428571428571,"Citymapper"
2021-03-02,"Journeys",25,26.1428571428571,"Citymapper"
2021-03-03,"Journeys",24,26.1428571428571,"Citymapper"
2021-03-04,"Journeys",24,26.2857142857143,"Citymapper"
2021-03-05,"Journeys",26,26.2857142857143,"Citymapper"
2021-03-06,"Journeys",28,26,"Citymapper"
2021-03-07,"Journeys",29,26.1428571428571,"Citymapper"
2021-03-08,"Journeys",29,26.4285714285714,"Citymapper"
2021-03-09,"Journeys",29,27,"Citymapper"
2021-03-10,"Journeys",26,27.2857142857143,"Citymapper"
2021-03-11,"Journeys",27,27.7142857142857,"Citymapper"
2021-03-12,"Journeys",28,28,"Citymapper"
2021-03-13,"Journeys",29,28.1428571428571,"Citymapper"
2021-03-14,"Journeys",30,28.2857142857143,"Citymapper"
2021-03-15,"Journeys",30,28.4285714285714,"Citymapper"
2021-03-16,"Journeys",29,28.4285714285714,"Citymapper"
2021-03-17,"Journeys",29,28.8571428571429,"Citymapper"
2021-03-18,"Journeys",28,29,"Citymapper"
2021-03-19,"Journeys",31,29.4285714285714,"Citymapper"
2021-03-20,"Journeys",31,29.7142857142857,"Citymapper"
2021-03-21,"Journeys",32,30,"Citymapper"
2021-03-22,"Journeys",32,30.2857142857143,"Citymapper"
2021-03-23,"Journeys",30,30.4285714285714,"Citymapper"
2021-03-24,"Journeys",29,30.4285714285714,"Citymapper"
2021-03-25,"Journeys",29,30.5714285714286,"Citymapper"
2021-03-26,"Journeys",30,30.4285714285714,"Citymapper"
2021-03-27,"Journeys",34,30.8571428571429,"Citymapper"
2021-03-28,"Journeys",32,30.8571428571429,"Citymapper"
2021-03-29,"Journeys",38,31.7142857142857,"Citymapper"
2021-03-30,"Journeys",41,33.2857142857143,"Citymapper"
2021-03-31,"Journeys",38,34.5714285714286,"Citymapper"
2021-04-01,"Journeys",38,35.8571428571429,"Citymapper"
2021-04-02,"Journeys",39,37.1428571428571,"Citymapper"
2021-04-03,"Journeys",36,37.4285714285714,"Citymapper"
2021-04-04,"Journeys",41,38.7142857142857,"Citymapper"
2021-04-05,"Journeys",35,38.2857142857143,"Citymapper"
2021-04-06,"Journeys",35,37.4285714285714,"Citymapper"
2021-04-07,"Journeys",35,37,"Citymapper"
2021-04-08,"Journeys",34,36.4285714285714,"Citymapper"
2021-04-09,"Journeys",35,35.8571428571429,"Citymapper"
2021-04-10,"Journeys",35,35.7142857142857,"Citymapper"
2021-04-11,"Journeys",42,35.8571428571429,"Citymapper"
2021-04-12,"Journeys",50,38,"Citymapper"
2021-04-13,"Journeys",47,39.7142857142857,"Citymapper"
2021-04-14,"Journeys",47,41.4285714285714,"Citymapper"
2021-04-15,"Journeys",47,43.2857142857143,"Citymapper"
2021-04-16,"Journeys",50,45.4285714285714,"Citymapper"
2021-04-17,"Journeys",58,48.7142857142857,"Citymapper"
2021-04-18,"Journeys",55,50.5714285714286,"Citymapper"
2021-04-19,"Journeys",48,50.2857142857143,"Citymapper"
2021-04-20,"Journeys",49,50.5714285714286,"Citymapper"
2021-04-21,"Journeys",47,50.5714285714286,"Citymapper"
2021-04-22,"Journeys",49,50.8571428571429,"Citymapper"
2021-04-23,"Journeys",54,51.4285714285714,"Citymapper"
2021-04-24,"Journeys",60,51.7142857142857,"Citymapper"
2021-04-25,"Journeys",55,51.7142857142857,"Citymapper"
2021-04-26,"Journeys",47,51.5714285714286,"Citymapper"
2021-04-27,"Journeys",49,51.5714285714286,"Citymapper"
2021-04-28,"Journeys",47,51.5714285714286,"Citymapper"
2021-04-29,"Journeys",50,51.7142857142857,"Citymapper"
2021-04-30,"Journeys",53,51.5714285714286,"Citymapper"
2021-05-01,"Journeys",60,51.5714285714286,"Citymapper"
2021-05-02,"Journeys",60,52.2857142857143,"Citymapper"
2021-05-03,"Journeys",51,52.8571428571429,"Citymapper"
2021-05-04,"Journeys",48,52.7142857142857,"Citymapper"
2021-05-05,"Journeys",48,52.8571428571429,"Citymapper"
2021-05-06,"Journeys",50,52.8571428571429,"Citymapper"
2021-05-07,"Journeys",53,52.8571428571429,"Citymapper"
2021-05-08,"Journeys",54,52,"Citymapper"
2021-05-09,"Journeys",59,51.8571428571429,"Citymapper"
2021-05-10,"Journeys",49,51.5714285714286,"Citymapper"
2021-05-11,"Journeys",51,52,"Citymapper"
2021-05-12,"Journeys",51,52.4285714285714,"Citymapper"
2021-05-13,"Journeys",51,52.5714285714286,"Citymapper"
2021-05-14,"Journeys",54,52.7142857142857,"Citymapper"
2021-05-15,"Journeys",59,53.4285714285714,"Citymapper"
2021-05-16,"Journeys",53,52.5714285714286,"Citymapper"
2021-05-17,"Journeys",56,53.5714285714286,"Citymapper"
2021-05-18,"Journeys",57,54.4285714285714,"Citymapper"
2021-05-19,"Journeys",58,55.4285714285714,"Citymapper"
2021-05-20,"Journeys",59,56.5714285714286,"Citymapper"
2021-05-21,"Journeys",63,57.8571428571429,"Citymapper"
2021-05-22,"Journeys",69,59.2857142857143,"Citymapper"
2021-05-23,"Journeys",66,61.1428571428571,"Citymapper"
2021-05-24,"Journeys",55,61,"Citymapper"
2021-05-25,"Journeys",57,61,"Citymapper"
2021-05-26,"Journeys",59,61.1428571428571,"Citymapper"
2021-05-27,"Journeys",63,61.7142857142857,"Citymapper"
2021-05-28,"Journeys",67,62.2857142857143,"Citymapper"
2021-05-29,"Journeys",75,63.1428571428571,"Citymapper"
2021-05-30,"Journeys",78,64.8571428571429,"Citymapper"
2021-05-31,"Journeys",71,67.1428571428571,"Citymapper"
2021-06-01,"Journeys",61,67.7142857142857,"Citymapper"
2021-06-02,"Journeys",62,68.1428571428571,"Citymapper"
2021-06-03,"Journeys",64,68.2857142857143,"Citymapper"
2021-06-04,"Journeys",64,67.8571428571429,"Citymapper"
2021-06-05,"Journeys",74,67.7142857142857,"Citymapper"
2021-06-06,"Journeys",69,66.4285714285714,"Citymapper"
2021-06-07,"Journeys",59,64.7142857142857,"Citymapper"
2021-06-08,"Journeys",62,64.8571428571429,"Citymapper"
2021-06-09,"Journeys",63,65,"Citymapper"
2021-06-10,"Journeys",64,65,"Citymapper"
2021-06-11,"Journeys",70,65.8571428571429,"Citymapper"
2021-06-12,"Journeys",76,66.1428571428571,"Citymapper"
2021-06-13,"Journeys",76,67.1428571428571,"Citymapper"
